Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x512769ee272240e6b0c2e8200e738a733efc5d347647e245fe5bafe6fc16c7d1","Success","Approve","82956740","2026-02-14 01:45:03","0x5189a30ffc44d952dcde9e1fb1672cf5b2ba26a7","","0x3c499c542cef5e3811e1192ce70d8cc03d5c3359","Circle: USDC Token","0 POL","$0.00","0.03874327"
"0x1aca055667cc00f76f0b69f462a17a4b5f4a8f8fa1e95ba5f439616d16d61c8c","Success","Approve","82956737","2026-02-14 01:44:57","0x5189a30ffc44d952dcde9e1fb1672cf5b2ba26a7","","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","Maker: Dai Stablecoin","0 POL","$0.00","0.03565295"
"0x868b42d500cc28662689818fd401fc714bc9161e24617014161f9bc583f24f10","Success","Approve","82956734","2026-02-14 01:44:51","0x5189a30ffc44d952dcde9e1fb1672cf5b2ba26a7","","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","USDT0: USDT0 Token","0 POL","$0.00","0.03487289"
"0x953afe5f50d3cdb6bf248700365815a0fffe25f8d663a60f42225f0f1f56d186","Success","Approve","82956731","2026-02-14 01:44:45","0x5189a30ffc44d952dcde9e1fb1672cf5b2ba26a7","","0x2791bca1f2de4661ed88a30c99a7a9449aa84174","Circle: USDC.e Token","0 POL","$0.00","0.03673573"
"0x81207ad92ba05ec9315c3ce312bc4bf376ce5a84e8ed123c0977a8250b7e9747","Success","0x60c06040","82956577","2026-02-14 01:39:37","0x5189a30ffc44d952dcde9e1fb1672cf5b2ba26a7","","0x2eba3973ab634293fd55d80b7279cdc3fcafef67","","0 POL","$0.00","0.84212979"
"0xd7fe42a8294a5ad105d17842bc76f471595f386c7a73282d1e6c430e28032dd7","Success","Approve","82953557","2026-02-13 23:58:57","0x5189a30ffc44d952dcde9e1fb1672cf5b2ba26a7","","0x3c499c542cef5e3811e1192ce70d8cc03d5c3359","Circle: USDC Token","0 POL","$0.00","0.03257946"
"0xb871a8f0950bb89ebcb30089669bcb084753cef5637070fd33079fefeb0c423d","Success","Approve","82953554","2026-02-13 23:58:51","0x5189a30ffc44d952dcde9e1fb1672cf5b2ba26a7","","0x8f3cf7ad23cd3cadbd9735aff958023239c6a063","Maker: Dai Stablecoin","0 POL","$0.00","0.03074626"
"0x284bef93543d510bde8f9f864f438a07b16a53b344438e2d4c2dd843478b7468","Success","Approve","82953551","2026-02-13 23:58:45","0x5189a30ffc44d952dcde9e1fb1672cf5b2ba26a7","","0xc2132d05d31c914a87c6611c10748aeb04b58e8f","USDT0: USDT0 Token","0 POL","$0.00","0.0308734"
"0x1b78b64631acddc6f7172582369a0a2464d85b536a5dc098673f761746706edf","Success","Approve","82953548","2026-02-13 23:58:39","0x5189a30ffc44d952dcde9e1fb1672cf5b2ba26a7","","0x2791bca1f2de4661ed88a30c99a7a9449aa84174","Circle: USDC.e Token","0 POL","$0.00","0.03511309"
"0x07e43e4238d2b562f9bd1e7919b06d86634e9e514773c4232fdafe9e26762830","Success","0x60c06040","82953412","2026-02-13 23:54:07","0x5189a30ffc44d952dcde9e1fb1672cf5b2ba26a7","","0xf434161d4fd7f480304400cb0aa036273912b2fd","","0 POL","$0.00","0.90584124"
"0xc22b31948cc0ef31859b40247f3428ab76e18f3557a894b26f3a03945a89d672","Success","Transfer","82950519","2026-02-13 22:17:41","0x64045bf2d2de90c60fc417003906704a63b9a441","","0x5189a30ffc44d952dcde9e1fb1672cf5b2ba26a7","","100 POL","$10.08","0.01861993"
